BW-CityLinkVictoriaSt-2014-03-04

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-CityLinkVictoriaSt, 2014-03-04 07:00:00, 15, bicycle riders, F, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA, 0, NA
BW-CityLinkVictoriaSt, 2014-03-04 07:15:00, 15, bicycle riders, F, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA, 0, NA
BW-CityLinkVictoriaSt, 2014-03-04 07:30:00, 15, bicycle riders, F, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA, 0, NA
BW-CityLinkVictoriaSt, 2014-03-04 07:45:00, 15, bicycle riders, F, NA, NA, NA, NA, 1, NA, NA, NA, NA, NA, 1, NA
BW-CityLinkVictoriaSt, 2014-03-04 08:00:00, 15, bicycle riders, F, NA, NA, NA, NA, 1, NA, NA, NA, NA, NA, 1, NA
BW-CityLinkVictoriaSt, 2014-03-04 08:15:00, 15, bicycle riders, F, NA, NA, NA, NA, 1, NA, NA, NA, NA, NA, 1, NA
BW-CityLinkVictoriaSt, 2014-03-04 08:30:00, 15, bicycle riders, F, NA, NA, NA, NA, 3, NA, NA, NA, NA, NA, 1, NA
BW-CityLinkVictoriaSt, 2014-03-04 08:45:00, 15, bicycle riders, F, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA, 0, NA

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-CityLinkVictoriaSt, 2014-03-04 07:00:00, 15, bicycle riders, M, NA, NA, 0, NA, 0, NA, NA, NA, NA, NA, 1, NA
BW-CityLinkVictoriaSt, 2014-03-04 07:15:00, 15, bicycle riders, M, NA, NA, NA, NA, 1, NA, NA, NA, NA, NA, 2, NA
BW-CityLinkVictoriaSt, 2014-03-04 07:30:00, 15, bicycle riders, M, NA, NA, NA, NA, 1, NA, NA, NA, NA, NA, 1, NA
BW-CityLinkVictoriaSt, 2014-03-04 07:45:00, 15, bicycle riders, M, NA, NA, NA, NA, 1, NA, NA, NA, NA, NA, 2, NA
BW-CityLinkVictoriaSt, 2014-03-04 08:00:00, 15, bicycle riders, M, NA, NA, NA, NA, 2, NA, NA, NA, NA, NA, 2, NA
BW-CityLinkVictoriaSt, 2014-03-04 08:15:00, 15, bicycle riders, M, NA, NA, NA, NA, 5, NA, NA, NA, NA, NA, 0, NA
BW-CityLinkVictoriaSt, 2014-03-04 08:30:00, 15, bicycle riders, M, NA, NA, NA, NA, 5, NA, NA, NA, NA, NA, 2, NA
BW-CityLinkVictoriaSt, 2014-03-04 08:45:00, 15, bicycle riders, M, NA, NA, NA, NA, 4, NA, NA, NA, NA, NA, 3, NA
