BW-JolleyStAlbionSt-2015-03-03

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-JolleyStAlbionSt, 2015-03-03 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
BW-JolleyStAlbionSt, 2015-03-03 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0
BW-JolleyStAlbionSt, 2015-03-03 07:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
BW-JolleyStAlbionSt, 2015-03-03 07:45:00, 15, bicycle riders, F, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 4
BW-JolleyStAlbionSt, 2015-03-03 08:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
BW-JolleyStAlbionSt, 2015-03-03 08:15:00, 15, bicycle riders, F, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0
BW-JolleyStAlbionSt, 2015-03-03 08:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
BW-JolleyStAlbionSt, 2015-03-03 08:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-JolleyStAlbionSt, 2015-03-03 07:00:00, 15, bicycle riders, M, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0
BW-JolleyStAlbionSt, 2015-03-03 07:15:00, 15, bicycle riders, M, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0
BW-JolleyStAlbionSt, 2015-03-03 07:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0
BW-JolleyStAlbionSt, 2015-03-03 07:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0
BW-JolleyStAlbionSt, 2015-03-03 08:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0
BW-JolleyStAlbionSt, 2015-03-03 08:15:00, 15, bicycle riders, M, 1, 0, 1, 0, 5, 0, 1, 0, 0, 0, 4, 0
BW-JolleyStAlbionSt, 2015-03-03 08:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 4, 0
BW-JolleyStAlbionSt, 2015-03-03 08:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 3, 1, 0, 0, 0, 3, 7, 1
