C-SydneyRdMunroSt-2011-03-29

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
C-SydneyRdMunroSt, Sydney Rd and Munro St Harding St, Coburg, 8.1, 320788.29, 5820529.19, 29 H1, Sydney Rd, Munro - Harding

countsite, count_date, bin_duration, counting, gender_split, counter
C-SydneyRdMunroSt, 2011-03-29, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-SydneyRdMunroSt, 2011-03-29 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
C-SydneyRdMunroSt, 2011-03-29 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
C-SydneyRdMunroSt, 2011-03-29 07:30:00, 15, bicycle riders, F, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
C-SydneyRdMunroSt, 2011-03-29 07:45:00, 15, bicycle riders, F, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0
C-SydneyRdMunroSt, 2011-03-29 08:00:00, 15, bicycle riders, F, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0
C-SydneyRdMunroSt, 2011-03-29 08:15:00, 15, bicycle riders, F, 0, 2, 0, 1, 1, 0, 2, 1, 0, 0, 0, 1
C-SydneyRdMunroSt, 2011-03-29 08:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
C-SydneyRdMunroSt, 2011-03-29 08:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 2

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-SydneyRdMunroSt, 2011-03-29 07:00:00, 15, bicycle riders, M, 0, 1, 0, 2, 0, 0, 0, 4, 0, 1, 1, 0
C-SydneyRdMunroSt, 2011-03-29 07:15:00, 15, bicycle riders, M, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0
C-SydneyRdMunroSt, 2011-03-29 07:30:00, 15, bicycle riders, M, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
C-SydneyRdMunroSt, 2011-03-29 07:45:00, 15, bicycle riders, M, 0, 3, 0, 3, 2, 0, 0, 0, 0, 0, 0, 2
C-SydneyRdMunroSt, 2011-03-29 08:00:00, 15, bicycle riders, M, 0, 5, 0, 0, 1, 0, 2, 2, 2, 0, 0, 2
C-SydneyRdMunroSt, 2011-03-29 08:15:00, 15, bicycle riders, M, 0, 5, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0
C-SydneyRdMunroSt, 2011-03-29 08:30:00, 15, bicycle riders, M, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1
C-SydneyRdMunroSt, 2011-03-29 08:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 2, 0
