countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
CN-UpfieldBoundaryRd, 2015-03-03 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CN-UpfieldBoundaryRd, 2015-03-03 07:15:00, 15, bicycle riders, F, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
CN-UpfieldBoundaryRd, 2015-03-03 07:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
CN-UpfieldBoundaryRd, 2015-03-03 07:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CN-UpfieldBoundaryRd, 2015-03-03 08:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
CN-UpfieldBoundaryRd, 2015-03-03 08:15:00, 15, bicycle riders, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0
CN-UpfieldBoundaryRd, 2015-03-03 08:30:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CN-UpfieldBoundaryRd, 2015-03-03 08:45:00, 15, bicycle riders, F, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0
CN-UpfieldBoundaryRd, 2015-03-03 07:00:00, 15, bicycle riders, M, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
CN-UpfieldBoundaryRd, 2015-03-03 07:15:00, 15, bicycle riders, M, 0, 3, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0
CN-UpfieldBoundaryRd, 2015-03-03 07:30:00, 15, bicycle riders, M, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
CN-UpfieldBoundaryRd, 2015-03-03 07:45:00, 15, bicycle riders, M, 0, 3, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2
CN-UpfieldBoundaryRd, 2015-03-03 08:00:00, 15, bicycle riders, M, 0, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0
CN-UpfieldBoundaryRd, 2015-03-03 08:15:00, 15, bicycle riders, M, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1
CN-UpfieldBoundaryRd, 2015-03-03 08:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
CN-UpfieldBoundaryRd, 2015-03-03 08:45:00, 15, bicycle riders, M, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
