countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
FN-KingStGlenlyon, 2013-03-05 07:00:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
FN-KingStGlenlyon, 2013-03-05 07:15:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
FN-KingStGlenlyon, 2013-03-05 07:30:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
FN-KingStGlenlyon, 2013-03-05 07:45:00, 15, bicycle riders, F, 0, 4, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1
FN-KingStGlenlyon, 2013-03-05 08:00:00, 15, bicycle riders, F, 0, 4, 0, 5, 1, 0, 0, 1, 0, 0, 1, 0
FN-KingStGlenlyon, 2013-03-05 08:15:00, 15, bicycle riders, F, 0, 4, 1, 2, 0, 0, 0, 0, 0, 1, 0, 2
FN-KingStGlenlyon, 2013-03-05 08:30:00, 15, bicycle riders, F, 0, 10, 0, 1, 2, 0, 0, 0, 0, 0, 4, 0
FN-KingStGlenlyon, 2013-03-05 08:45:00, 15, bicycle riders, F, 0, 4, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0
FN-KingStGlenlyon, 2013-03-05 07:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2
FN-KingStGlenlyon, 2013-03-05 07:15:00, 15, bicycle riders, M, 0, 6, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1
FN-KingStGlenlyon, 2013-03-05 07:30:00, 15, bicycle riders, M, 0, 6, 0, 2, 0, 0, 0, 2, 1, 0, 0, 1
FN-KingStGlenlyon, 2013-03-05 07:45:00, 15, bicycle riders, M, 0, 8, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1
FN-KingStGlenlyon, 2013-03-05 08:00:00, 15, bicycle riders, M, 0, 13, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1
FN-KingStGlenlyon, 2013-03-05 08:15:00, 15, bicycle riders, M, 0, 11, 0, 3, 2, 0, 0, 1, 0, 0, 1, 1
FN-KingStGlenlyon, 2013-03-05 08:30:00, 15, bicycle riders, M, 0, 14, 0, 2, 3, 0, 1, 1, 0, 0, 4, 0
FN-KingStGlenlyon, 2013-03-05 08:45:00, 15, bicycle riders, M, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1
