Gow-MooneePondsCrkWestRingRd-2014-03-04

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
Gow-MooneePondsCrkWestRingRd,Moonee Ponds Creek Trail and Western Ring Road Trail,Fawkner,20.9,315484.31,5826140.65,7J10,Southbound,Eastbound

countsite, count_date, bin_duration, counting, gender_split, counter
Gow-MooneePondsCrkWestRingRd,2014-03-04,15,bicycle riders,Y,


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
Gow-MooneePondsCrkWestRingRd,2014-03-04 07:00:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 07:15:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 07:30:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 07:45:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 08:00:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 08:15:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 08:30:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 08:45:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
Gow-MooneePondsCrkWestRingRd,2014-03-04 07:00:00,15,bicycle riders,M,0,0,0,0,0,0,0,1,0,0,0,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 07:15:00,15,bicycle riders,M,0,0,0,1,2,0,0,0,0,1,2,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 07:30:00,15,bicycle riders,M,0,1,0,0,0,0,0,2,0,0,0,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 07:45:00,15,bicycle riders,M,0,0,0,0,0,0,0,2,0,1,1,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 08:00:00,15,bicycle riders,M,0,4,0,0,2,2,0,2,1,0,0,1
Gow-MooneePondsCrkWestRingRd,2014-03-04 08:15:00,15,bicycle riders,M,0,2,0,0,0,0,1,3,0,0,0,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 08:30:00,15,bicycle riders,M,0,0,0,0,0,0,0,0,0,0,0,0
Gow-MooneePondsCrkWestRingRd,2014-03-04 08:45:00,15,bicycle riders,M,0,0,2,0,0,0,1,0,0,0,0,0
